Time,REAL_DATA,TELE_DATA
0,223,220
1,223,220
2,223,220
3,223,220
4,221,218
5,223,220
6,222,219
7,221,218
8,223,220
9,222,219
10,222,218
11,221,218
12,221,218
13,223,220
14,223,220
15,221,218
16,223,220
17,221,218
18,223,220
19,222,219
20,221,218
21,221,218
22,223,220
23,222,218
24,222,219
25,222,218
26,222,218
27,221,218
28,221,218
29,223,220
30,223,220
31,221,218
32,223,220
33,221,218
34,223,220
35,223,220
36,223,220
37,221,218
38,222,218
39,223,220
40,223,220
41,223,220
42,222,219
43,223,220
44,223,220
45,221,218
46,221,218
47,223,220
48,221,218
49,223,220
50,221,218
51,223,220
52,222,218
53,223,220
54,221,218
55,223,220
56,223,220
57,221,219
58,221,218
59,221,218
60,223,220
61,223,220
62,221,218
63,223,220
64,221,218
65,222,218
66,223,220
67,223,220
68,223,220
69,223,220
70,223,220
71,223,220
72,221,218
73,223,220
74,223,220
75,223,220
76,223,220
77,221,218
78,222,218
79,222,219
80,221,218
81,223,220
82,223,220
83,223,220
84,223,220
85,223,220
86,222,218
87,221,218
88,221,218
89,222,218
90,221,218
91,223,220
92,222,218
93,223,220
94,223,220
95,223,220
96,223,220
97,222,219
98,221,218
99,223,220
100,223,220
101,223,220
102,223,220
103,221,218
104,223,220
105,221,218
106,223,220
107,223,220
108,223,220
109,223,220
110,221,218
111,222,218
112,221,218
113,222,218
114,223,220
115,222,218
116,222,218
117,222,219
118,223,220
119,223,220
120,222,219
121,223,220
122,222,218
123,221,218
124,223,220
125,222,218
126,223,220
127,223,220
128,223,220
129,223,220
130,223,220
131,223,220
132,223,220
133,223,220
134,222,219
135,221,218
136,221,218
137,223,220
138,221,218
139,221,218
140,223,220
141,221,218
142,221,218
143,223,220
144,223,220
145,222,219
146,222,218
147,221,218
148,222,218
149,221,218
150,222,219
151,221,218
152,221,218
153,223,220
154,223,220
155,223,220
156,221,218
157,222,219
158,223,220
159,221,218
160,221,218
161,223,220
162,221,218
163,221,218
164,223,220
165,221,218
166,222,219
167,222,218
168,221,218
169,222,219
170,223,220
171,223,220
172,223,220
173,223,220
174,222,218
175,221,218
176,223,220
177,223,220
178,223,220
179,222,219
180,222,219
181,221,218
182,223,220
183,223,220
184,221,218
185,223,220
186,221,218
187,222,218
188,223,220
189,223,220
190,222,218
191,221,218
192,223,220
193,223,220
194,223,220
195,221,218
196,223,220
197,223,220
198,222,218
199,223,220
200,221,218
201,221,218
202,221,218
203,220,218
204,221,218
205,222,219
206,223,220
207,223,220
208,223,220
209,223,220
210,222,219
211,223,220
212,222,219
213,223,220
214,223,220
215,221,218
216,223,220
217,223,220
218,223,220
219,221,218
220,221,218
221,223,220
222,221,218
223,222,219
224,223,220
225,223,220
226,223,220
227,221,218
228,223,220
229,223,220
230,222,218
231,223,220
232,223,220
233,223,220
234,222,218
235,222,218
236,223,220
237,223,220
238,222,219
239,222,218
240,222,219
241,221,218
242,221,218
243,222,218
244,222,219
245,221,218
246,222,219
247,223,220
248,221,218
249,223,220
250,223,220
251,221,218
252,221,218
253,221,218
254,221,218
255,221,218
256,223,220
257,222,218
258,221,218
259,222,219
260,223,220
261,223,220
262,223,220
263,220,218
264,223,220
265,223,220
266,221,218
267,223,220
268,221,218
269,223,220
270,223,220
271,223,220
272,223,220
273,223,220
274,223,220
275,223,220
276,221,218
277,223,220
278,222,219
279,223,220
280,223,220
281,221,218
282,221,218
283,222,218
284,223,220
285,221,218
286,223,220
287,223,220
288,220,218
289,223,220
290,220,218
291,223,220
292,219,217
293,223,220
294,220,218
295,219,217
296,218,217
297,219,216
298,218,215
299,218,215
300,222,219
301,220,216
302,221,218
303,221,219
304,217,214
305,221,218
306,221,218
307,221,218
308,218,214
309,218,215
310,219,217
311,217,214
312,219,217
313,217,214
314,219,217
315,219,217
316,219,216
317,218,216
318,217,214
319,218,217
320,217,214
321,218,215
322,218,215
323,217,214
324,217,214
325,218,216
326,218,216
327,218,215
328,218,215
329,216,214
330,216,214
331,217,214
332,218,214
333,218,214
334,218,214
335,218,214
336,216,214
337,219,216
338,218,214
339,219,216
340,216,214
341,218,215
342,218,214
343,219,216
344,217,214
345,219,216
346,218,215
347,216,214
348,218,214
349,216,214
350,218,215
351,219,216
352,217,214
353,218,214
354,218,215
355,218,215
356,217,214
357,216,214
358,218,215
359,218,215
360,216,214
361,219,216
362,217,214
363,216,214
364,218,215
365,218,215
366,218,216
367,217,214
368,219,216
369,218,215
370,216,214
371,219,216
372,218,215
373,218,215
374,217,214
375,218,214
376,218,214
377,218,215
378,217,214
379,218,215
380,218,215
381,218,216
382,216,214
383,216,214
384,218,215
385,218,216
386,218,215
387,218,215
388,217,214
389,218,214
390,216,214
391,218,215
392,216,214
393,218,215
394,216,214
395,219,216
396,218,215
397,218,215
398,219,216
399,218,215
400,218,215
401,218,214
402,218,215
403,218,215
404,216,214
405,218,215
406,218,215
407,217,214
408,218,215
409,216,214
410,218,214
411,218,215
412,219,216
413,217,214
414,219,217
415,217,214
416,218,215
417,219,216
418,217,214
419,218,214
420,218,216
421,217,214
422,218,215
423,219,217
424,219,216
425,218,217
426,217,214
427,219,216
428,217,214
429,219,217
430,218,217
431,217,214
432,217,214
433,219,216
434,219,217
435,219,217
436,217,214
437,218,215
438,218,215
439,219,217
440,219,217
441,219,217
442,218,215
443,218,215
444,217,214
445,218,216
446,221,218
447,221,218
448,222,219
449,221,218
450,221,218
451,221,218
452,218,217
453,222,220
454,223,220
455,220,218
456,223,220
457,223,220
458,220,218
459,223,220
460,223,220
461,223,220
462,220,218
463,223,220
464,221,218
465,221,218
466,223,220
467,223,220
468,223,220
469,223,220
470,222,218
471,223,220
472,221,218
473,223,220
474,221,218
475,223,220
476,221,218
477,223,220
478,221,218
479,221,218
480,223,220
481,223,220
482,223,220
483,222,218
484,221,218
485,223,220
486,223,220
487,223,220
488,222,218
489,221,218
490,223,220
491,223,220
492,223,220
493,222,218
494,222,219
495,223,220
496,221,218
497,223,220
498,223,220
499,222,219
500,223,220
501,221,218
502,221,218
503,223,220
504,221,218
505,222,218
506,221,218
507,221,218
508,223,220
509,223,220
510,221,218
511,223,220
512,223,220
513,221,218
514,223,220
515,223,220
516,223,220
517,221,218
518,221,218
519,221,218
520,221,218
521,222,218
522,221,218
523,223,220
524,223,220
525,223,220
526,223,220
527,223,220
528,223,220
529,222,219
530,221,218
531,221,218
532,221,218
533,223,220
534,223,220
535,221,218
536,222,218
537,221,218
538,221,218
539,223,220
540,221,218
541,223,220
542,221,218
543,223,220
544,221,218
545,223,220
546,221,218
547,222,219
548,221,218
549,221,218
550,223,220
551,222,219
552,222,218
553,223,220
554,221,218
555,223,220
556,223,220
557,223,220
558,223,220
559,222,219
560,223,220
561,221,218
562,221,218
563,221,218
564,221,218
565,223,220
566,223,220
567,223,220
568,223,220
569,221,218
570,222,218
571,221,218
572,221,218
573,221,218
574,223,220
575,223,220
576,223,220
577,222,218
578,221,218
579,223,220
580,221,218
581,221,218
582,221,218
583,222,218
584,223,220
585,223,220
586,223,220
587,221,218
588,223,220
589,223,220
590,222,218
591,223,220
592,221,218
593,221,218
594,223,220
